BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE
4,RIDGEWOOD,41 TAX CLASS 4 - OTHER                     ,11385,0,1,200,1931,4,Z9,950000
4,QUEENS VILLAGE,01 ONE FAMILY DWELLINGS                    ,11429,1,0,300,1950,1,A2,365700
5,MIDLAND BEACH,02 TWO FAMILY DWELLINGS                    ,10306,2,0,300,1920,1,B2,290000
1,HARLEM-CENTRAL,29 COMMERCIAL GARAGES                      ,10039,0,1,322,1972,4,G5,6750000
1,CLINTON,41 TAX CLASS 4 - OTHER                     ,10019,0,2,336,1998,4,Z9,4700000
5,MIDLAND BEACH,01 ONE FAMILY DWELLINGS                    ,10306,1,0,358,1925,1,A6,161000
5,RICHMONDTOWN,01 ONE FAMILY DWELLINGS                    ,10306,1,0,380,1920,1,A3,967745
5,CONCORD,29 COMMERCIAL GARAGES                      ,10304,0,1,400,1800,4,G9,340000
5,MIDLAND BEACH,01 ONE FAMILY DWELLINGS                    ,10305,1,0,400,1940,1,A9,333904
5,NEW DORP-BEACH,01 ONE FAMILY DWELLINGS                    ,10306,1,0,400,1920,1,A6,68900
5,NEW DORP-BEACH,01 ONE FAMILY DWELLINGS                    ,10306,1,0,400,1920,1,A6,231000
5,STAPLETON,01 ONE FAMILY DWELLINGS                    ,10304,1,0,408,1920,1,A2,321300
5,SOUTH BEACH,01 ONE FAMILY DWELLINGS                    ,10305,1,0,416,1920,1,A2,213983
4,ROCKAWAY PARK,01 ONE FAMILY DWELLINGS                    ,11694,1,0,420,1920,1,A6,110000
5,MARINERS HARBOR,01 ONE FAMILY DWELLINGS                    ,10303,1,0,420,1925,1,A2,250000
5,NEW DORP-BEACH,01 ONE FAMILY DWELLINGS                    ,10306,1,0,420,1930,1,A6,135000
5,NEW DORP-BEACH,01 ONE FAMILY DWELLINGS                    ,10306,1,0,420,1930,1,A6,221200
5,NEW DORP-BEACH,01 ONE FAMILY DWELLINGS                    ,10306,1,0,420,1925,1,A6,182418
5,MIDLAND BEACH,01 ONE FAMILY DWELLINGS                    ,10306,1,0,432,1925,1,A6,80560
5,MIDLAND BEACH,01 ONE FAMILY DWELLINGS                    ,10306,1,0,432,1925,1,A6,108250
4,ROSEDALE,02 TWO FAMILY DWELLINGS                    ,11413,2,0,444,1920,1,B3,810000
5,MIDLAND BEACH,01 ONE FAMILY DWELLINGS                    ,10306,1,0,448,1920,1,A6,285500
5,MIDLAND BEACH,01 ONE FAMILY DWELLINGS                    ,10306,1,0,448,1935,1,A2,260000
5,NEW DORP-BEACH,01 ONE FAMILY DWELLINGS                    ,10306,1,0,448,1920,1,A6,63882
5,NEW DORP-BEACH,01 ONE FAMILY DWELLINGS                    ,10306,1,0,448,1920,1,A2,235000
5,MARINERS HARBOR,01 ONE FAMILY DWELLINGS                    ,10303,1,0,450,1930,1,A9,320000
5,MIDLAND BEACH,01 ONE FAMILY DWELLINGS                    ,10306,1,0,450,1935,1,A6,258546
5,MIDLAND BEACH,01 ONE FAMILY DWELLINGS                    ,10306,1,0,450,1987,1,A6,62000
5,MIDLAND BEACH,06 TAX CLASS 1 - OTHER                     ,10305,1,0,450,1925,1,G0,252000
5,CONCORD,01 ONE FAMILY DWELLINGS                    ,10304,1,0,456,1950,1,A2,465000
5,GRYMES HILL,01 ONE FAMILY DWELLINGS                    ,10304,1,0,456,1930,1,A2,200000
5,CONCORD,01 ONE FAMILY DWELLINGS                    ,10304,1,0,460,1925,1,A6,230000
5,SOUTH BEACH,01 ONE FAMILY DWELLINGS                    ,10305,1,0,480,1940,1,A2,230000
5,NEW DORP-BEACH,01 ONE FAMILY DWELLINGS                    ,10306,1,0,484,1920,1,A6,185500
5,SOUTH BEACH,01 ONE FAMILY DWELLINGS                    ,10305,1,0,496,1940,1,A2,399000
4,SPRINGFIELD GARDENS,01 ONE FAMILY DWELLINGS                    ,11434,1,0,498,1925,1,A2,168000
5,MIDLAND BEACH,01 ONE FAMILY DWELLINGS                    ,10306,1,0,500,1930,1,A6,79717
5,MIDLAND BEACH,01 ONE FAMILY DWELLINGS                    ,10306,1,0,504,1920,1,A2,223892
5,MIDLAND BEACH,01 ONE FAMILY DWELLINGS                    ,10306,1,0,518,1925,1,A6,193000
5,NEW DORP-BEACH,01 ONE FAMILY DWELLINGS                    ,10306,1,0,518,1935,1,A6,175000
5,NEW BRIGHTON,01 ONE FAMILY DWELLINGS                    ,10301,1,0,520,1989,1,A5,315000
5,GREAT KILLS,01 ONE FAMILY DWELLINGS                    ,10308,1,0,528,1970,1,A2,655000
5,GREAT KILLS,01 ONE FAMILY DWELLINGS                    ,10308,1,0,528,1965,1,A2,547000
5,MIDLAND BEACH,01 ONE FAMILY DWELLINGS                    ,10306,1,0,528,1925,1,A6,170000
5,SOUTH BEACH,01 ONE FAMILY DWELLINGS                    ,10305,1,0,532,1940,1,A2,260000
5,SOUTH BEACH,01 ONE FAMILY DWELLINGS                    ,10305,1,0,540,1920,1,A2,250712
5,MIDLAND BEACH,01 ONE FAMILY DWELLINGS                    ,10306,1,0,546,1920,1,A6,250000
5,NEW DORP-BEACH,01 ONE FAMILY DWELLINGS                    ,10306,1,0,552,1930,1,A2,465000
4,SOUTH JAMAICA,01 ONE FAMILY DWELLINGS                    ,11433,1,0,560,1910,1,A1,205000
5,MIDLAND BEACH,01 ONE FAMILY DWELLINGS                    ,10305,1,0,560,1975,1,A2,296217
5,MIDLAND BEACH,01 ONE FAMILY DWELLINGS                    ,10306,1,0,560,1935,1,A6,259200
5,PRINCES BAY,01 ONE FAMILY DWELLINGS                    ,10309,1,0,560,1940,1,A6,390000
5,SOUTH BEACH,01 ONE FAMILY DWELLINGS                    ,10305,1,0,560,1920,1,A2,103000
5,MIDLAND BEACH,01 ONE FAMILY DWELLINGS                    ,10306,1,0,565,1945,1,A2,310535
5,NEW DORP-BEACH,01 ONE FAMILY DWELLINGS                    ,10306,1,0,570,1910,1,A2,200000
4,REGO PARK,29 COMMERCIAL GARAGES                      ,11374,0,1,575,1940,4,GU,500000
5,CONCORD,01 ONE FAMILY DWELLINGS                    ,10304,1,0,576,1950,1,A2,357500
5,GREAT KILLS,01 ONE FAMILY DWELLINGS                    ,10306,1,0,576,1986,1,A5,290000
5,GREAT KILLS,01 ONE FAMILY DWELLINGS                    ,10306,1,0,576,1986,1,A5,320000
5,GREAT KILLS,01 ONE FAMILY DWELLINGS                    ,10306,1,0,576,1986,1,A5,322500
5,GREAT KILLS,01 ONE FAMILY DWELLINGS                    ,10306,1,0,576,1986,1,A5,315000
5,GREAT KILLS,01 ONE FAMILY DWELLINGS                    ,10306,1,0,576,1986,1,A5,290000
5,GREAT KILLS,02 TWO FAMILY DWELLINGS                    ,10306,2,0,576,1986,1,B9,340000
5,NEW DORP-BEACH,01 ONE FAMILY DWELLINGS                    ,10306,1,0,576,1920,1,A6,100000
5,MIDLAND BEACH,01 ONE FAMILY DWELLINGS                    ,10306,1,0,580,1920,1,A6,68900
5,CASTLETON CORNERS,01 ONE FAMILY DWELLINGS                    ,10314,1,0,588,1960,1,A5,350000
5,MIDLAND BEACH,01 ONE FAMILY DWELLINGS                    ,10306,1,0,588,1945,1,A6,100700
5,SOUTH BEACH,01 ONE FAMILY DWELLINGS                    ,10305,1,0,596,1925,1,A2,240000
5,CONCORD-FOX HILLS,01 ONE FAMILY DWELLINGS                    ,10304,1,0,600,1995,1,A5,290000
5,ELTINGVILLE,01 ONE FAMILY DWELLINGS                    ,10312,1,0,600,1935,1,A2,400000
5,GREAT KILLS,01 ONE FAMILY DWELLINGS                    ,10308,1,0,600,1920,1,A6,418500
5,MIDLAND BEACH,01 ONE FAMILY DWELLINGS                    ,10306,1,0,600,1925,1,A6,285000
5,NEW DORP,01 ONE FAMILY DWELLINGS                    ,10306,1,0,600,1920,1,A2,260000
5,PORT IVORY,06 TAX CLASS 1 - OTHER                     ,10303,0,0,600,1931,1,G0,140000
5,GREAT KILLS,01 ONE FAMILY DWELLINGS                    ,10308,1,0,603,1940,1,A2,265000
5,MIDLAND BEACH,01 ONE FAMILY DWELLINGS                    ,10306,1,0,608,1930,1,A6,230000
4,ROSEDALE,01 ONE FAMILY DWELLINGS                    ,11422,1,0,612,1925,1,A2,220000
5,GREAT KILLS,01 ONE FAMILY DWELLINGS                    ,10308,1,0,612,1935,1,A2,153700
5,MIDLAND BEACH,01 ONE FAMILY DWELLINGS                    ,10306,1,0,616,1950,1,A2,220000
5,OAKWOOD,01 ONE FAMILY DWELLINGS                    ,10306,1,0,624,1975,1,A1,650000
4,RIDGEWOOD,02 TWO FAMILY DWELLINGS                    ,11385,2,0,625,1910,1,B3,1065000
5,GRASMERE,01 ONE FAMILY DWELLINGS                    ,10304,1,0,625,2016,1,A1,931698
5,MIDLAND BEACH,01 ONE FAMILY DWELLINGS                    ,10306,1,0,630,1945,1,A2,321280
5,NEW DORP-BEACH,01 ONE FAMILY DWELLINGS                    ,10306,1,0,630,1930,1,A6,195500
5,TOTTENVILLE,01 ONE FAMILY DWELLINGS                    ,10307,1,0,630,1935,1,A2,408000
5,NEW DORP-BEACH,01 ONE FAMILY DWELLINGS                    ,10306,1,0,636,1920,1,A6,150000
4,QUEENS VILLAGE,02 TWO FAMILY DWELLINGS                    ,11429,2,0,638,1920,1,B3,790000
4,SPRINGFIELD GARDENS,01 ONE FAMILY DWELLINGS                    ,11434,1,0,639,1920,1,A2,395000
5,MIDLAND BEACH,01 ONE FAMILY DWELLINGS                    ,10306,1,0,640,1930,1,A6,223510
5,TOTTENVILLE,01 ONE FAMILY DWELLINGS                    ,10307,1,0,640,1925,1,A2,111300
4,SOUTH JAMAICA,01 ONE FAMILY DWELLINGS                    ,11433,1,0,646,1950,1,A5,300000
5,GREAT KILLS,01 ONE FAMILY DWELLINGS                    ,10308,1,0,648,1920,1,A6,300000
5,MIDLAND BEACH,01 ONE FAMILY DWELLINGS                    ,10305,1,0,648,1915,1,A6,202648
5,NEW DORP,02 TWO FAMILY DWELLINGS                    ,10306,2,0,650,2016,1,B2,809508
5,PORT IVORY,01 ONE FAMILY DWELLINGS                    ,10303,1,0,650,1920,1,A9,112500
5,NEW BRIGHTON,01 ONE FAMILY DWELLINGS                    ,10301,1,0,654,2008,1,A1,198750
5,TRAVIS,01 ONE FAMILY DWELLINGS                    ,10314,1,0,657,1920,1,A2,350000
5,NEW DORP-BEACH,01 ONE FAMILY DWELLINGS                    ,10306,1,0,658,1930,1,A6,234000
5,PORT RICHMOND,01 ONE FAMILY DWELLINGS                    ,10302,1,0,662,1920,1,A9,380000
4,SOUTH JAMAICA,01 ONE FAMILY DWELLINGS                    ,11433,1,0,665,1955,1,A5,344500
4,QUEENS VILLAGE,01 ONE FAMILY DWELLINGS                    ,11411,1,0,672,1960,1,A2,260000
5,GREAT KILLS,01 ONE FAMILY DWELLINGS                    ,10308,1,0,672,1950,1,A2,460000
5,NEW DORP-BEACH,01 ONE FAMILY DWELLINGS                    ,10306,1,0,672,1930,1,A6,208000
5,SOUTH BEACH,01 ONE FAMILY DWELLINGS                    ,10305,1,0,672,1960,1,A2,482000
5,MARINERS HARBOR,01 ONE FAMILY DWELLINGS                    ,10303,1,0,675,1935,1,A9,367000
5,CLOVE LAKES,01 ONE FAMILY DWELLINGS                    ,10310,1,0,680,1955,1,A5,351000
5,MARINERS HARBOR,01 ONE FAMILY DWELLINGS                    ,10303,1,0,680,1990,1,A5,305000
